command
assignee of issue 24,issue_assignees
what branches do we have?,list_branches
what branches do we have in repository,list_branches
list all branches please,list_branches
let me know the names of all branches,list_branches
name all the branches,list_branches
give me a list of all the branches in the repository,list_branches
I would like to know how many branches are there in total?,number_of_branches
I want to know the number of branches in the repository,number_of_branches
in this repository what is the total count of branches,number_of_branches
"In this repository, how many branches do I have?",number_of_branches
what is the number of branches,number_of_branches
number of branches?,number_of_branches
how many branches in total does the repository have?,number_of_branches
commits count,number_of_commits
number of commits,number_of_commits
give me a count of all the commits,number_of_commits
how many commits,number_of_commits
I would like to know how many commits are there in total?,number_of_commits
give the number of commits I have in repository,number_of_commits
how many commits in total does the repository have?,number_of_commits
how many forks in the repository?,number_of_forks
number of forks,number_of_forks
what is the number of forks that we have?,number_of_forks
how many forks do we have?,number_of_forks
how many forks in total does the repository have?,number_of_forks
in this repository what is the total count of forks,number_of_forks
how many forks in total?,number_of_forks
how many stars do we have?,number_of_stars
please let me know the number of stars in the repo,number_of_stars
in this repository what is the total count of stars,number_of_stars
how many stars do I have,number_of_stars
count for me the number of stars,number_of_stars
how many stars in the repository?,number_of_stars
how many stars,number_of_stars
please let me know the number of subscribers in the repo,number_of_subscribers
how many subscribers in total?,number_of_subscribers
how many subscribers do I have?,number_of_subscribers
subscribers count,number_of_subscribers
let me know how many subscribers are in the repository,number_of_subscribers
how many subscribers do we have?,number_of_subscribers
give me the subscriber count in my repoisotry,number_of_subscribers
give the number of subscribers I have in repository,number_of_subscribers
list all the people who worked on the project,list_collaborators
who collaborated on repository?,list_collaborators
tell me all the people who contributed to my project,list_collaborators
who collaborated in the repository?,list_collaborators
give me all the contributors?,list_collaborators
who contributed to the repository?,list_collaborators
please give me the names of the repository collaborators,list_collaborators
let me know how many downloads does the repository have,number_of_downloads
count the repository downloads,number_of_downloads
number of downloads?,number_of_downloads
give me a count of all the downloads,number_of_downloads
I would like to know how many downloads are there in total?,number_of_downloads
what is the number of downloads that we have in repository?,number_of_downloads
count repository downloads,number_of_downloads
give the number of downloads I have in repository,number_of_downloads
